period_days,age_cohort,vax_dose,metric,vax_increase,novax_increase,diff,p_value,vax_before,vax_after,novax_before,novax_after,vax_vs_novax_ratio
30,between_12_and_30,1,imunosupresivy,83.41968911917098,106.4516129032258,-23.03192378405481,0.073665110925467,193.0,161.0,310.0,330.0,0.7836395038467577
30,between_12_and_30,2,imunosupresivy,110.24096385542168,123.46153846153847,-13.220574606116784,0.41531812674618,166.0,183.0,260.0,321.0,0.8929174642495213
30,between_12_and_30,3,imunosupresivy,93.16239316239316,92.17391304347827,0.9884801189148931,1.0,117.0,109.0,345.0,318.0,1.0107240767618126
30,between_30_and_50,1,imunosupresivy,78.18336162988115,104.26621160409557,-26.082849974214426,7.560620005186504e-05,1178.0,921.0,586.0,611.0,0.7498436974649813
30,between_30_and_50,2,imunosupresivy,106.51162790697674,92.22042139384116,14.291206513135577,0.05590075598055744,860.0,916.0,617.0,569.0,1.1549679159684474
30,between_30_and_50,3,imunosupresivy,100.74294205052006,104.99168053244591,-4.248738481925855,0.6086761626683201,673.0,678.0,601.0,631.0,0.9595326176285667
30,between_50_and_70,1,imunosupresivy,96.78546470999301,115.94594594594594,-19.16048123595293,0.02483881050669224,1431.0,1385.0,370.0,429.0,0.834746432230709
30,between_50_and_70,2,imunosupresivy,93.66144668158091,104.32432432432432,-10.66287764274341,0.20011874586010545,1341.0,1256.0,370.0,386.0,0.897791069227589
30,between_50_and_70,3,imunosupresivy,89.65791567223548,80.0925925925926,9.56532307964288,0.18537426807095014,1257.0,1127.0,432.0,346.0,1.1194283112834025
30,less_than_12,1,imunosupresivy,66.66666666666666,83.87096774193549,-17.20430107526883,1.0,6.0,4.0,124.0,104.0,0.7948717948717948
30,less_than_12,2,imunosupresivy,250.0,119.56521739130434,130.43478260869566,0.46208136013438905,2.0,5.0,92.0,110.0,2.090909090909091
30,less_than_12,3,imunosupresivy,,81.29496402877699,,1.0,0.0,0.0,139.0,113.0,
30,more_than_70,1,imunosupresivy,102.02702702702702,103.27868852459017,-1.2516614975631484,1.0,444.0,453.0,61.0,63.0,0.9878807378807377
30,more_than_70,2,imunosupresivy,105.88235294117648,116.12903225806453,-10.246679316888049,0.7003818752579856,272.0,288.0,62.0,72.0,0.9117647058823529
30,more_than_70,3,imunosupresivy,102.89855072463767,54.54545454545454,48.35309617918313,0.0004751345573689149,483.0,497.0,99.0,54.0,1.8864734299516908
60,between_12_and_30,1,imunosupresivy,88.63636363636364,100.0,-11.36363636363636,0.2261089990827589,352.0,312.0,597.0,597.0,0.8863636363636364
60,between_12_and_30,2,imunosupresivy,106.02739726027397,109.16808149405772,-3.1406842337837446,0.781137696441019,365.0,387.0,589.0,643.0,0.9712307462877351
60,between_12_and_30,3,imunosupresivy,99.08675799086758,104.13694721825964,-5.050189227392053,0.6618811333889597,219.0,217.0,701.0,730.0,0.9515043472821667
